1710105-01,1310407-01,1,1710105,1310407
1710105-01,1310426-01,1,1710105,1310426
1710105-01,1310426-02,1,1710105,1310426
1710105-02,1310426-01,1,1710105,1310426
1710105-01,1710105-01,70,1710105,1710105
1710105-02,1710105-02,66,1710105,1710105
1710105-03,1710105-03,64,1710105,1710105
1710105-01,1710201-02,1,1710105,1710201
1710105-01,1710201-04,1,1710105,1710201
1710105-02,1710201-05,1,1710105,1710201
1710105-03,1710201-02,1,1710105,1710201
1710105-03,1710201-05,1,1710105,1710201
1710105-01,1710204-01,46,1710105,1710204
1710105-02,1710204-01,55,1710105,1710204
1710105-03,1710204-01,56,1710105,1710204
1710105-01,1710210-01,1,1710105,1710210
1710105-01,1710210-02,2,1710105,1710210
1710105-02,1710210-01,2,1710105,1710210
1710105-03,1710210-02,2,1710105,1710210
1710105-03,1710210-03,1,1710105,1710210
1710105-01,1710217-01,13,1710105,1710217
1710105-02,1710217-01,8,1710105,1710217
1710105-02,1710404-01,1,1710105,1710404
1710105-01,1712212-01,3,1710105,1712212
1710105-01,1712212-02,2,1710105,1712212
1710105-01,1712212-03,3,1710105,1712212
1710105-02,1712212-02,2,1710105,1712212
1710105-03,1712212-03,2,1710105,1712212
1710105-03,1712301-03,1,1710105,1712301
1710105-01,1712312-01,1,1710105,1712312
1710105-02,1712312-01,1,1710105,1712312
1710105-01,1712315-02,1,1710105,1712315
1710105-01,1712417-01,1,1710105,1712417
1710105-01,1712432-01,4,1710105,1712432
1710105-02,1712452-01,1,1710105,1712452
1710105-01,1714297-01,1,1710105,1714297
1710105-01,1714297-02,1,1710105,1714297
1710105-01,1714297-03,3,1710105,1714297
1710105-02,1714297-03,1,1710105,1714297
1710105-03,1714297-03,2,1710105,1714297
1710105-01,1714303-01,1,1710105,1714303
1710105-01,1714303-02,2,1710105,1714303
1710105-01,1714304-03,1,1710105,1714304
1710105-01,1714304-04,1,1710105,1714304
1710105-01,1714396-01,1,1710105,1714396
1710105-01,1716310-01,3,1710105,1716310
1710105-01,1716310-02,1,1710105,1716310
1710105-02,1716310-01,1,1710105,1716310
1710105-03,1716310-02,2,1710105,1716310
1710105-01,1716401-06,1,1710105,1716401
1710105-01,1716405-01,1,1710105,1716405
1710105-01,1716410-01,1,1710105,1716410
1710105-01,1716430-01,1,1710105,1716430
1710105-01,1716444-02,1,1710105,1716444
1710105-01,1716494-01,1,1710105,1716494
1710105-02,1716494-01,1,1710105,1716494
1710105-01,1718210-01,1,1710105,1718210
1710105-01,1718210-02,3,1710105,1718210
1710105-01,1718210-03,2,1710105,1718210
1710105-01,1718210-04,1,1710105,1718210
1710105-02,1718210-01,1,1710105,1718210
1710105-03,1718210-01,2,1710105,1718210
1710105-01,1718217-01,1,1710105,1718217
1710105-01,1718217-02,11,1710105,1718217
1710105-02,1718217-01,5,1710105,1718217
1710105-02,1718217-02,3,1710105,1718217
1710105-03,1718217-01,3,1710105,1718217
1710105-03,1718217-02,1,1710105,1718217
1710105-01,1718303-01,1,1710105,1718303
1710105-01,1718303-02,1,1710105,1718303
1710105-02,1718303-01,1,1710105,1718303
1710105-01,1718312-01,4,1710105,1718312
1710105-01,1718402-03,1,1710105,1718402
1710105-02,1718402-02,1,1710105,1718402
1710105-01,1718404-02,1,1710105,1718404
1710105-01,1718406-02,1,1710105,1718406
1710105-02,1718416-01,1,1710105,1718416
1710105-01,1718448-01,2,1710105,1718448
1710105-02,1718449-01,2,1710105,1718449
1710105-01,1718450-01,1,1710105,1718450
1710105-01,1718452-02,1,1710105,1718452
1710105-01,1720400-01,2,1710105,1720400
1710105-01,1720405-01,1,1710105,1720405
1710105-02,1730120-01,1,1710105,1730120
1710105-02,1730155-01,9,1710105,1730155
1710105-02,1730155-02,3,1710105,1730155
1710105-03,1730155-01,5,1710105,1730155
1710105-03,1730155-02,10,1710105,1730155
1710105-01,1732203-01,15,1710105,1732203
1710105-01,1732203-02,9,1710105,1732203
1710105-01,1732203-03,6,1710105,1732203
1710105-01,1732203-04,21,1710105,1732203
1710105-01,1732203-05,4,1710105,1732203
1710105-02,1732203-01,18,1710105,1732203
1710105-02,1732203-02,22,1710105,1732203
1710105-02,1732203-03,14,1710105,1732203
1710105-02,1732203-05,4,1710105,1732203
1710105-03,1732203-01,5,1710105,1732203
